Animal_Name,Common_Name,Age_Class,Sex,Occurrence,Strand_Date,County,City,Locality,Stranding_Details,Latitude,Longitude,Admit_Date,Status,Status_2,Disposition_Date,COD_List_Side,Diagnosis_List_Side
Durham,California Sea Lion,Subadult,Male,1,8/11/03,San Mateo,Half Moon Bay,Poplar Beach,,37.447,-122.451,8/11/03,euthanasia,,8/15/03,"Euthanasia, domoic acid toxicity (acute)",domoic acid toxicity (acute)
Moni,California Sea Lion,Adult,Female,1,8/19/03,San Luis Obispo,Morro Bay,Morro Strand State Beach (South),100 yards north of highway 41,35.383,-120.871,8/19/03,released,,9/12/03,,"domoic acid toxicity (acute), trauma (eye)"
Bootstrap,California Sea Lion,Adult,Female,1,8/19/03,San Luis Obispo,Pismo Beach,Pismo State Beach,,35.144,-120.656,8/19/03,released,,9/12/03,,domoic acid toxicity (acute)
Alysheba,California Sea Lion,Adult,Female,1,8/30/03,San Luis Obispo,Pismo Beach,Palisades Park,,35.1713,-120.6988,8/31/03,released,,9/25/03,,domoic acid toxicity (acute)
Trigger,California Sea Lion,Subadult,Female,1,9/3/03,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 1,35.097,-120.63,9/3/03,released,,10/27/03,,"domoic acid toxicity (acute), bad location"
Darkstar,California Sea Lion,Juvenile,Male,1,9/4/03,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 1,35.097,-120.63,9/4/03,released,,9/30/03,,"domoic acid toxicity (acute), bad location"
Forego,California Sea Lion,Adult,Female,1,9/4/03,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 2,35.09,-120.629,9/4/03,released,,10/15/03,,"domoic acid toxicity (acute), bad location"
Mrs. Ed,California Sea Lion,Juvenile,Male,1,9/5/03,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 1,35.097,-120.63,9/5/03,released,,10/27/03,,"domoic acid toxicity (acute), bad location"
Groovy,California Sea Lion,Adult,Female,1,9/5/03,San Luis Obispo,Grover Beach,Oceano Dunes Vehicular Recreation Area,Just south of Grand Ave ramp,35.121,-120.635,9/5/03,died in treatment,,9/5/03,domoic acid toxicity (acute),"domoic acid toxicity (acute), bad location"
Hard Tack,California Sea Lion,Adult,Female,1,9/5/03,San Luis Obispo,Morro Bay,Morro Strand State Beach (South),"north of rock between towers 1 & 2
",35.374,-120.87,9/5/03,died in treatment,,9/5/03,domoic acid toxicity (acute),domoic acid toxicity (acute)
Sabina,California Sea Lion,Adult,Female,1,9/6/03,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 7,35.051,-120.63,9/6/03,died in treatment,,9/7/03,domoic acid toxicity (acute),"domoic acid toxicity (acute), bad location"
Proud Truth,California Sea Lion,Adult,Female,1,9/6/03,Santa Barbara,Guadalupe,Guadalupe-Nipomo Dunes Preserve,,34.9569,-120.6526,9/7/03,died in treatment,,9/8/03,domoic acid toxicity (acute),domoic acid toxicity (acute)
Troy,California Sea Lion,Adult,Female,1,9/7/03,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 4,35.047,-120.629,9/7/03,released,,10/21/03,,"domoic acid toxicity (acute), bad location"
Outstandingly,California Sea Lion,Adult,Female,1,9/9/03,San Luis Obispo,Pismo Beach,Pismo State Beach,1/4 mile north of pier,35.144,-120.656,9/9/03,died in treatment,,9/21/03,domoic acid toxicity (acute),domoic acid toxicity (acute)
Mule,California Sea Lion,Adult,Female,1,9/9/03,San Luis Obispo,Morro Bay,Montana de Oro State Park,,35.282,-120.893,9/9/03,released,,10/5/03,,domoic acid toxicity (acute)
Tiana,California Sea Lion,Adult,Female,1,9/11/03,San Luis Obispo,Morro Bay,Morro Strand State Beach (South),north of rock,35.374,-120.87,9/11/03,released,,10/27/03,,domoic acid toxicity (acute)
Congaree,California Sea Lion,Adult,Female,1,9/13/03,Santa Barbara,Guadalupe,Guadalupe-Nipomo Dunes Preserve,,34.9569,-120.6526,9/13/03,released,,10/21/03,,domoic acid toxicity (acute)
Tasso,California Sea Lion,Adult,Female,1,9/14/03,San Luis Obispo,Grover Beach,Oceano Dunes Vehicular Recreation Area,Grand Ave,35.121,-120.635,9/14/03,died in treatment,,9/15/03,domoic acid toxicity (acute),"domoic acid toxicity (acute), bad location"
Happy Echo,California Sea Lion,Adult,Female,1,9/14/03,San Luis Obispo,Cayucos,Estero Bluffs,,35.442,-120.946,9/14/03,released,,10/5/03,,domoic acid toxicity (acute)
Dillinger,California Sea Lion,Subadult,Male,1,9/17/03,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 7.5,35.051,-120.63,9/17/03,released,,10/15/03,,"domoic acid toxicity (chronic), bad location"
Bold Ruler,California Sea Lion,Subadult,Female,1,9/18/03,San Luis Obispo,Grover Beach,Oceano Dunes Vehicular Recreation Area,Near Grand Ave,35.121,-120.635,9/18/03,euthanasia,,11/10/03,"Euthanasia, Trauma (vertebral fracture), ","domoic acid (seizure), trauma, bad location"
Lulabelle,California Sea Lion,Adult,Female,1,9/24/03,Alameda,Berkeley,Berkeley Marina,,37.8687,-122.317,9/24/03,released,,10/27/03,,domoic acid toxicity (acute)
Psycho,California Sea Lion,Adult,Female,1,9/25/03,Santa Cruz,Live Oak,Twin Lakes,,36.952,-121.997,9/25/03,released,,10/2/03,,"unknown, domoic acid toxicity (chronic)"
Spocky,California Sea Lion,Adult,Female,1,9/28/03,Monterey,Castroville,Monterey Dunes Colony,,36.766,-121.81,9/28/03,euthanasia,,10/31/03,"Euthanasia, domoic acid toxicity (acute), Septicemia",domoic acid toxicity (acute)
Tater,California Sea Lion,Adult,Female,1,10/1/03,Monterey,Moss Landing,Salinas River State Beach,,36.778,-121.804,10/1/03,died in treatment,,10/2/03,domoic acid toxicity (acute),domoic acid toxicity (acute)
Puddles,California Sea Lion,Adult,Female,1,10/3/03,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 5,35.067,-120.628,10/3/03,died in treatment,,10/15/03,"domoic acid toxicity (acute), Gunshot","domoic acid toxicity (acute), trauma, gunshot, bad location"
Bailey,California Sea Lion,Subadult,Male,1,10/5/03,San Mateo,Moss Beach,Fitzgerald Marine Reserve,,37.523,-122.522,10/5/03,released,,10/21/03,,domoic acid toxicity (acute)
Gazos,California Sea Lion,Subadult,Female,1,10/8/03,San Mateo,Pescadero,Gazos Creek Access,Middle of road,37.166,-122.367,10/8/03,euthanasia,,10/9/03,"Euthanasia, domoic acid toxicity (acute)",domoic acid toxicity (acute)
Colegrove,California Sea Lion,Adult,Female,1,10/9/03,Monterey,Pacific Grove,Sunset Drive,,36.632,-121.942,10/9/03,released,,11/9/03,,domoic acid toxicity (acute)
Killer (re-re-restrand),California Sea Lion,Adult,Female,1,10/16/03,San Mateo,Burlingame,Burlingame,,,,10/19/03,euthanasia,,10/20/03,"Euthanasia, domoic acid toxicity (chronic)",domoic acid toxicity (chronic)
Rosie Dune,California Sea Lion,Adult,Female,1,10/17/03,Monterey,Monterey,Monterey Dunes,,36.766,-121.81,10/17/03,released,,11/25/03,,domoic acid toxicity (acute)
Herbie,California Sea Lion,Juvenile,Male,1,10/18/03,San Mateo,Pescadero,Pescadero State Beach,,37.262,-122.417,10/18/03,released,,11/5/03,,domoic acid toxicity (acute)
Maurice,California Sea Lion,Adult,Male,1,10/19/03,Monterey,Monterey,Monterey State Beach,,36.622,-121.852,10/19/03,euthanasia,,10/20/03,"Euthanasia, domoic acid toxicity (acute), carcinoma",domoic acid toxicity (acute)
Dillinger (restrand),California Sea Lion,Subadult,Male,1,10/23/03,Marin,Sausalito,Swedes Beach,,37.8614,-122.4864,10/24/03,died in treatment,,11/27/03,"gastritis, domoic acid toxicity (chronic)",domoic acid toxicity (chronic)
Daystar,California Sea Lion,Subadult,Female,1,10/27/03,San Luis Obispo,Grover Beach,Oceano Dunes Vehicular Recreation Area,Grand Avenue,35.121,-120.635,10/27/03,euthanasia,,10/31/03,"Euthanasia, domoic acid toxicity (chronic)","domoic acid toxicity (chronic), bad location, oil/tar"
Spartini,California Sea Lion,Adult,Female,1,10/31/03,Monterey,Seaside,Monterey State Beach (Seaside),,36.622,-121.852,11/1/03,euthanasia,,11/5/03,"Euthanasia, domoic acid toxicity (acute)",domoic acid toxicity (acute)
Tenzin,California Sea Lion,Juvenile,Male,1,11/3/03,Alameda,Oakland,,10000 block Bernhardt Dt ,37.7278,-122.1844,11/3/03,released,,12/4/03,,"bad location, malnutrition, domoic acid toxicity (chronic)"
Stringbean,California Sea Lion,Yearling,Female,1,12/3/03,San Luis Obispo,Morro Bay,Morro Strand State Beach (South),south of san jacinto,35.392,-120.872,12/4/03,euthanasia,,12/10/03,"Euthanasia, Blind, domoic acid toxicity (acute)","trauma (head), blind, domoic acid toxicity (acute)"
Embarry,California Sea Lion,Juvenile,Male,1,12/17/03,Monterey,Moss Landing,Moss Landing Beach,,36.805,-121.792,12/20/03,euthanasia,,1/22/04,"Euthanasia, trauma, Leptospirosis","leptospirosis, domoic acid toxicity (chronic)"
Herman,California Sea Lion,Yearling,Female,1,12/18/03,San Francisco,San Francisco,Ocean Beach,,37.765,-122.517,12/18/03,euthanasia,,1/2/04,"Euthanasia, domoic acid toxicity (chronic)","trauma (head), encephalitis, domoic acid toxicity (chronic)"
Alturas,California Sea Lion,Adult,Female,1,12/30/03,Monterey,Monterey,Coast Guard Jetty,,36.608,-121.888,12/30/03,released,,3/10/04,,domoic acid toxicity (chronic)
MG Kelly,California Sea Lion,Subadult,Male,1,1/8/04,San Luis Obispo,Cayucos,Cayucos State Beach,,35.437,-120.901,1/8/04,euthanasia,,2/2/04,"Euthanasia, Gunshot, domoic acid toxicity (chronic)","gunshot, domoic acid toxicity (chronic)"
Rory,California Sea Lion,Adult,Female,1,1/21/04,San Luis Obispo,Avila Beach,Port San Luis Beach and Pier,,35.164,-120.747,1/21/04,released,,6/29/04,,"domoic acid (seizure), gunshot"
Fetus (Valentine),California Sea Lion,Fetus,Male,1,2/14/04,,,,,,,2/14/04,died in treatment,,2/14/04,domoic acid toxicity (developmental),
Valentine,California Sea Lion,Adult,Female,1,2/14/04,San Luis Obispo,Pismo Beach,Shell Beach,,35.151,-120.681,2/14/04,died in treatment,,2/14/04,domoic acid toxicity (acute),domoic acid toxicity (acute)
Myrna,California Sea Lion,Adult,Female,1,2/27/04,San Luis Obispo,Pismo Beach,Pismo State Beach,north of Pier ,35.144,-120.656,2/27/04,released,,3/10/04,,domoic acid toxicity (acute)
Myrna (restrand),California Sea Lion,Adult,Female,1,3/15/04,Santa Cruz,Watsonville,Sunset State Beach,,36.883,-121.839,3/16/04,released,,5/20/04,,domoic acid toxicity (chronic)
Shelouba,California Sea Lion,Subadult,Female,1,4/7/04,San Luis Obispo,Cayucos,Morro Strand State Beach (North),,35.413,-120.879,4/7/04,released,,5/9/04,,domoic acid toxicity (acute)
Pia,California Sea Lion,Subadult,Male,1,5/1/04,Monterey,Moss Landing,Salinas River State Beach,,36.778,-121.804,5/1/04,released,,7/8/04,,domoic acid toxicity (acute)
Shelouba (restrand),California Sea Lion,Subadult,Female,1,5/11/04,Contra Costa,Richmond,Shimada Park,,37.9079,-122.3446,5/11/04,released,,6/12/04,,domoic acid toxicity (chronic)
Loo,California Sea Lion,Adult,Female,1,5/14/04,Los Angeles,San Pedro,Marine Mammal Care Center at Fort MacArthur,,,,5/14/04,released,,5/29/04,,domoic acid
Spitter,California Sea Lion,Yearling,Male,1,5/21/04,San Luis Obispo,Los Osos,Montana de Oro,,35.2485,-120.895,5/21/04,euthanasia,,5/31/04,"Euthanasia, domoic acid toxicity (chronic)",domoic acid toxicity (chronic)
Joy,California Sea Lion,Yearling,Male,1,6/3/04,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 6.5,35.058,-120.629,6/3/04,released,,7/17/04,,"San Miguel sea lion virus, malnutrition/bad location, parasites, domoic acid toxicity (chronic)"
SORAC,California Sea Lion,Pup,Male,1,6/9/04,Monterey,Monterey,Monterey Bay Aquarium,,36.618,-121.896,6/9/04,released,,7/2/04,,"domoic acid toxicity (acute), tar"
Shopper,California Sea Lion,Subadult,Male,1,6/11/04,Sonoma,Petaluma,,"Industrial Avenue and Stony Point Road, parking lot in front of Suzuki Dealership",38.2684,-122.6703,6/18/04,released,,6/22/04,,"bad location, domoic acid toxicity (chronic)"
Stan,California Sea Lion,Juvenile,Male,1,6/27/04,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,Pier Ave,35.104,-120.631,6/27/04,died in treatment,,7/15/04,domoic acid toxicity (acute),"pneumonia, bad location, trauma (bite), lung worms"
Izzy,California Sea Lion,Juvenile,Male,1,6/27/04,Contra Costa,Richmond,Point Isabel,,37.8977,-122.3247,6/27/04,released,,7/23/04,,"encephalitis, domoic acid toxicity (chronic)"
Fort Mac,California Sea Lion,Adult,Female,1,7/8/04,Los Angeles,San Pedro,Marine Mammal Care Center at Fort MacArthur,,,,7/8/04,released,,7/23/04,,domoic acid
Rodent,California Sea Lion,Adult,Female,1,7/8/04,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Between posts 2 and 3,35.09,-120.629,7/8/04,released,,7/15/04,,"bad location, domoic acid toxicity (acute)"
Miss Piggy,California Sea Lion,Yearling,Female,1,7/9/04,Santa Cruz,Santa Cruz,Cowell Beach,,36.951,-122.017,7/9/04,euthanasia,,8/9/04,domoic acid toxicity (acute),domoic acid toxicity (acute)
"Willard
",California Sea Lion,Yearling,Male,1,7/10/04,San Luis Obispo,Morro Bay,Morro Strand State Beach (South),Yerba Buena,35.404,-120.876,7/10/04,released,,7/23/04,,"malnutrition, domoic acid toxicity (acute)"
Crystal,California Sea Lion,Adult,Female,1,7/15/04,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,Midramp,35.113,-120.633,7/15/04,died in treatment,,7/16/04,domoic acid toxicity (acute),"domoic acid toxicity (acute), bad location"
Shirley,California Sea Lion,Adult,Female,1,7/17/04,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,35.033,-120.6329,7/17/04,released,,8/1/04,,"domoic acid toxicity (acute), bad location"
Saddle Sammy,California Sea Lion,Yearling,Female,1,7/18/04,Monterey,Moss Landing,Zmudowski State Beach,,36.84,-121.813,7/18/04,released,,8/13/04,,domoic acid
Basil,California Sea Lion,Juvenile,Male,1,7/22/04,San Luis Obispo,Pismo Beach,Pismo State Beach,"Edgeawter Hotel, Cypress St",35.134,-120.646,7/22/04,released,,8/11/04,,domoic acid toxicity (acute)
Davidson,California Sea Lion,Adult,Female,1,7/24/04,San Luis Obispo,Grover Beach,Oceano Dunes Vehicular Recreation Area,Just S of Grand Ave,35.121,-120.635,7/24/04,released,,8/13/04,,"domoic acid toxicity (acute), bad location"
Sponge,California Sea Lion,Adult,Female,1,7/24/04,Monterey,Pebble Beach,Stillwater Cove,,36.561,-121.942,7/25/04,died in treatment,,7/26/04,"Pyelonephritis, Cystitis","entanglement, human interaction, domoic acid toxicity (acute)"
Coolidge,California Sea Lion,Adult,Female,1,7/24/04,San Luis Obispo,Grover Beach,Oceano Dunes Vehicular Recreation Area,.5 miles south of Grand Ave,35.121,-120.635,7/25/04,died in treatment,,9/6/04,domoic acid toxicity (acute),"domoic acid, bad location"
Washington,California Sea Lion,Adult,Female,1,7/25/04,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Oso Flocco,35.0394,-120.6318,7/25/04,released,,8/13/04,,"domoic acid toxicity (acute), bad location"
Jackson,California Sea Lion,Juvenile,Male,1,7/25/04,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,north of Oso Flocco,35.04,-120.64,7/25/04,released,,8/13/04,,"domoic acid toxicity (acute), bad location"
Monroe,California Sea Lion,Adult,Female,1,7/25/04,San Luis Obispo,Pismo Beach,Pismo State Beach,Kontiki Inn,35.141,-120.652,7/25/04,released,,8/19/04,,domoic acid toxicity (acute)
Madison,California Sea Lion,Adult,Female,1,7/25/04,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 5.5,35.0683,-120.6289,7/26/04,died in treatment,,10/20/04,domoic acid toxicity (acute),"domoic acid, bad location"
Harrison,California Sea Lion,Adult,Female,1,7/25/04,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 6,35.058,-120.629,7/26/04,released,,8/11/04,,"domoic acid toxicity (acute), bad location"
Cleveland,California Sea Lion,Adult,Female,1,7/27/04,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,1/2 mile south of Pier Ave,35.096,-120.636,7/27/04,died in treatment,,8/4/04,domoic acid toxicity (acute),"bad location, domoic acid toxicity (acute)"
Baskin,California Sea Lion,Adult,Female,1,7/28/04,Monterey,Monterey,Aeneas Beach,,36.611,-121.892,7/28/04,died in treatment,,8/15/04,domoic acid toxicity (acute),domoic acid toxicity (acute)
Eisenhower,California Sea Lion,Subadult,Male,1,7/28/04,San Luis Obispo,Pismo Beach,Pismo Beach,"Addie St
",35.138,-120.649,7/28/04,released,,10/13/04,,domoic acid toxicity (acute)
Survy,California Sea Lion,Adult,Female,1,7/29/04,San Luis Obispo,Cayucos,Cayucos Beach,,35.431,-120.893,7/29/04,died in treatment,,9/28/04,domoic acid toxicity (acute),domoic acid
Tucker,California Sea Lion,Juvenile,Male,1,7/31/04,San Mateo,El Granada,Surfer's Beach,,37.492,-122.473,7/31/04,released,,9/15/04,,"sharkbite, domoic acid toxicity (chronic)"
Filmore,California Sea Lion,Juvenile,Male,1,7/31/04,San Luis Obispo,Pismo Beach,Pismo Beach,Sea Gypsy Motel,35.1407,-120.6451,7/31/04,released,,8/11/04,,domoic acid toxicity (acute)
Polk,California Sea Lion,Adult,Female,1,8/1/04,San Luis Obispo,Morro Bay,Morro Rock and Beach,,35.374,-120.87,8/1/04,released,,8/19/04,,domoic acid toxicity (acute)
Shirley (restrand),California Sea Lion,Adult,Female,1,8/9/04,San Francisco,San Francisco,Sutro Baths,,37.779,-122.518,8/9/04,died in treatment,,8/17/04,domoic acid toxicity (chronic),domoic acid toxicity (chronic)
Rex,California Sea Lion,Adult,Male,1,8/13/04,Monterey,Moss Landing,Zmudowski State Beach,,36.84,-121.813,8/13/04,released,,10/12/04,,domoic acid toxicity (acute)
Agusta,California Sea Lion,Adult,Female,1,8/19/04,San Luis Obispo,Morro Bay,Morro Strand State Beach (South),San Jacinto Rd,35.396,-120.873,8/19/04,died in treatment,,9/14/04,domoic acid toxicity (acute),domoic acid
Turquoise (restrand),California Sea Lion,Adult,Female,1,8/27/04,San Luis Obispo,Cayucos,Cayucos Beach,,35.431,-120.893,8/27/04,died in treatment,,10/31/04,domoic acid toxicity (chronic),domoic acid toxicity (chronic)
Mackie,California Sea Lion,Subadult,Male,1,8/27/04,San Luis Obispo,Pismo Beach,Pismo Beach,Under pier,35.138,-120.649,8/27/04,died in treatment,,9/14/04,Septicemia,domoic acid toxicity (chronic)
Begonia,California Sea Lion,Juvenile,Male,1,9/7/04,Santa Cruz,Capitola,Capitola Main Beach,,36.96,-121.949,9/7/04,euthanasia,,10/5/04,"Euthanasia, Leptospirosis","leptospirosis, domoic acid toxicity (chronic)"
Little Richard,California Sea Lion,Subadult,Female,1,9/18/04,Monterey,Pacific Grove,,10th and oceanview ave,36.625,-121.909,9/18/04,euthanasia,,10/28/04,"Euthanasia, domoic acid toxicity (chronic)",domoic acid toxicity (chronic)
Tucker (restrand),California Sea Lion,Juvenile,Male,1,9/21/04,Alameda,Fremont,,Dumbarton bridge near toll booth,37.5349,-122.0748,9/21/04,released,,10/5/04,,"leptospirosis, sharkbite, domoic acid toxicity (chronic)"
Action,California Sea Lion,Juvenile,Male,1,9/22/04,Monterey,Monterey,Monterey Marina,,36.608,-121.888,9/22/04,euthanasia,,10/7/04,"Euthanasia, Leptospirosis","leptospirosis, domoic acid toxicity (chronic)"
Choku,California Sea Lion,Adult,Female,1,9/23/04,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,35.033,-120.6329,9/23/04,euthanasia,,10/5/04,"Euthanasia, domoic acid toxicity (acute)","domoic acid toxicity (acute), bad location"
Roadrash,California Sea Lion,Yearling,Female,1,9/25/04,San Luis Obispo,Los Osos,,Turry Rd and South Bay Blvd,35.3366,-120.8234,9/25/04,euthanasia,,10/19/04,"Euthanasia, domoic acid toxicity (chronic)",domoic acid toxicity (chronic)
Pirate,California Sea Lion,Adult,Female,1,10/2/04,Monterey,Monterey,Santa Rosalia Beach,,36.608,-121.888,10/2/04,released,,11/10/04,,domoic acid toxicity (chronic)
Trainman,California Sea Lion,Juvenile,Male,1,10/2/04,Monterey,Moss Landing,Kirby Park,,36.8395,-121.7412,10/5/04,died in treatment,,11/22/04,"Leptospirosis, domoic acid toxicity (chronic)","leptospirosis, domoic acid toxicity (chronic)"
Ascot,California Sea Lion,Adult,Female,1,10/7/04,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,Post 2,35.09,-120.629,10/7/04,died in treatment,,11/9/04,domoic acid toxicity (chronic),"entanglement (scar), domoic acid toxicity (chronic), bad location"
Matt,California Sea Lion,Juvenile,Male,1,10/13/04,Santa Cruz,Santa Cruz,It's Beach,,36.946,-122.026,10/13/04,euthanasia,,11/8/04,"Euthanasia, domoic acid toxicity (chronic)",domoic acid toxicity (chronic)
Reagan,California Sea Lion,Adult,Female,1,10/15/04,Santa Barbara,Guadalupe,Guadalupe-Nipomo Dunes Preserve,,34.9569,-120.6526,10/15/04,released,,11/17/04,,domoic acid toxicity (acute)
Suzie,California Sea Lion,Adult,Female,1,10/17/04,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,Post 5,35.067,-120.628,10/17/04,released,,11/24/04,,"domoic acid toxicity (acute), bad location"
Wild Bill,California Sea Lion,Juvenile,Male,1,10/17/04,Monterey,Marina,Marina State Beach,,36.705,-121.813,10/17/04,euthanasia,,11/10/04,"Euthanasia, Blind, domoic acid toxicity (acute)",domoic acid
Nixon,California Sea Lion,Adult,Female,1,10/17/04,San Luis Obispo,Pismo Beach,Pismo State Beach,Wilmar Ave,35.144,-120.656,10/17/04,released,,11/12/04,,domoic acid toxicity (acute)
Nomoon,California Sea Lion,Yearling,Female,1,10/27/04,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,post 3.5,35.08,-120.629,10/27/04,euthanasia,,2/2/05,"Euthanasia, domoic acid toxicity (chronic)","domoic acid toxicity (acute), bad location"
Squirt,California Sea Lion,Yearling,Female,1,11/14/04,San Mateo,Half Moon Bay,Roosevelt Beach,"(Half Moon Bay State Beach), south bank of the stream",37.486,-122.464,11/14/04,released,,1/13/05,,domoic acid
Adams,California Sea Lion,Subadult,Male,1,11/21/04,San Luis Obispo,San Simeon,,north of ES rookery ,35.679,-121.291,11/21/04,released,,12/2/04,,domoic acid toxicity (acute)
Stoop,California Sea Lion,Adult,Female,1,11/29/04,San Luis Obispo,Morro Bay,Morro Rock,,35.369,-120.871,11/29/04,euthanasia,,12/6/04,"Euthanasia, domoic acid toxicity (chronic)",domoic acid toxicity (chronic)
Fetus (Stoop),California Sea Lion,Fetus,Unknown,1,12/6/04,,,,,,,12/6/04,euthanasia,,12/6/04,Euthanasia,
Stinky,California Sea Lion,Subadult,Female,1,12/10/04,Sonoma,Bodega Bay,Carmet Beach,(Sonoma Coast State Beaches),38.373,-123.0801,12/10/04,died in treatment,,1/15/05,domoic acid toxicity (chronic),"trauma (flipper fracture), domoic acid toxicity (chronic), trauma (head)"
Bundy,California Sea Lion,Adult,Female,1,12/15/04,Monterey,Monterey,Del Monte Beach,,36.608,-121.87,12/15/04,died in treatment,,1/14/05,"Cardiomyopathy, domoic acid toxicity (chronic)",domoic acid toxicity (chronic)
Cambolina,California Sea Lion,Adult,Female,1,1/10/05,San Mateo,Menlo Park,,In the middle of Willow Road - the expressway to the Dumbarton Bridge,37.4814,-122.1503,1/11/05,released,,1/19/05,,domoic acid toxicity (chronic)
Kristi,California Sea Lion,Adult,Female,1,1/11/05,San Francisco,San Francisco,Ocean Beach,at Santiago,37.745,-122.515,1/11/05,euthanasia,,1/12/05,"Euthanasia, Carcinoma",domoic acid toxicity (chronic)
Squirt (restrand)(relocate),California Sea Lion,Yearling,Female,1,1/29/05,Monterey,Moss Landing,,"357 Dolan Road, in barn of MoonGlow Dairy farm (aka Calcagno Dairy Farm)",36.8099,-121.7633,1/29/05,relocated,,1/29/05,,"bad location, domoic acid toxicity (chronic)"
Squirt (restrand),California Sea Lion,Yearling,Female,1,2/5/05,Monterey,Moss Landing,Moss Landing Harbor - North,by the kayak dock,36.8142,-1217872,2/8/05,relocated,,2/8/05,,"normal, domoic acid toxicity (chronic)"
Koslo,California Sea Lion,Yearling,Female,1,2/21/05,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 2,35.092,-120.636,2/21/05,died in treatment,,3/19/05,domoic acid toxicity (chronic),"domoic acid toxicity (chronic), bad location"
Harvey Wallbanger,California Sea Lion,Adult,Female,1,4/1/05,San Luis Obispo,Morro Bay,Morro Rock and Beach,200 feet north of the rock,35.369,-120.871,4/1/05,released,,5/6/05,,domoic acid
Maddy,California Sea Lion,Adult,Female,1,4/4/05,San Mateo,Pescadero,Pescadero State Beach,north access,37.271,-122.416,4/4/05,euthanasia,,5/10/05,"Euthanasia, domoic acid toxicity (chronic)",domoic acid toxicity (chronic)
Law,California Sea Lion,Juvenile,Male,1,4/9/05,Monterey,Marina,Marina State Beach,just north of the sand plant,36.705,-121.813,4/9/05,released,,6/7/05,,domoic acid toxicity (chronic)
Restroom7,California Sea Lion,Adult,Female,1,4/19/05,Santa Cruz,Aptos,Seacliff State Beach,"just South of the pier, near #7",36.962,-121.919,4/19/05,released,,4/29/05,,domoic acid toxicity (acute)
Fetus (Restroom 7),California Sea Lion,Fetus,Female,1,4/22/05,Marin,Sausalito,The Marine Mammal Center,,,,4/22/05,died in treatment,,4/22/05,"domoic acid toxicity (developmental), septicemia",
White Russian,California Sea Lion,Adult,Female,1,4/29/05,San Luis Obispo,Morro Bay,Morro Strand State Beach (South),at San Jacinto Street,35.396,-120.873,4/29/05,released,,6/7/05,,domoic acid toxicity (acute)
Fetus (White Russian),California Sea Lion,Fetus,Female,1,5/1/05,Marin,Sausalito,The Marine Mammal Center,,,,5/1/05,died in treatment,,5/1/05,"domoic acid toxicity (acute), abortion",
Ergo,California Sea Lion,Adult,Male,1,5/7/05,Santa Cruz,Watsonville,Pajaro Dunes,,36.863,-121.827,5/7/05,released,,6/7/05,,domoic acid toxicity (acute)
Mort,California Sea Lion,Subadult,Male,1,5/30/05,Monterey,Monterey,Breakwater Cove,in a parking lot,36.608,-121.888,5/30/05,released,,6/16/05,,domoic acid toxicity (acute)
KOA,California Sea Lion,Adult,Male,1,6/1/05,Sonoma,Petaluma,KOA Campground,"20 Rainsville Road, in creek of pasture along Stoney Point Road",38.162,-122.4037,6/1/05,DOA,,6/1/05,domoic acid toxicity (chronic),domoic acid toxicity (chronic)
Fetus,California Sea Lion,Fetus,Female,1,6/13/05,San Mateo,Pescadero,Ano Nuevo State Reserve,Ano Nuevo Island,37.111,-122.334,6/13/05,carcass,,6/13/05,"Abortion, septicemia",
Apple,California Sea Lion,Adult,Female,1,6/13/05,Ventura,Oxnard,Mandalay County Park,"Embassy Suites Hotel Resort Beach, 2101 Mandalay Beach Rd",34.178,-119.238,6/19/05,euthanasia,,6/20/05,"Euthanasia, domoic acid toxicity (acute)",domoic acid toxicity (acute)
Nectarine,California Sea Lion,Adult,Female,1,6/13/05,Ventura,Oxnard,,120 yards south of Neptunes Square,34.182,-119.24,6/19/05,euthanasia,,6/20/05,"Euthanasia, domoic acid toxicity (acute)",domoic acid toxicity (acute)
